GC,CS,HD,NH,GBH,MW,PT,ID,OD,C,CT,TC
Standard,0.046474359,0,0,0,0.020907692,0.006748728,0.333333333,0.379310345,Tin,0.083792832,0.933290536
Standard,0.046474359,0.857142857,1,0,0.020907692,0.044385569,0.333333333,0.379310345,Tin,0.083792832,1.310787354
Standard,0.046474359,0.428571429,1,0,0.020907692,0.054240529,0.333333333,0.379310345,Tin,0.083792832,1.370594382
Standard,0.070512821,0,0,0,0.027817936,0.006748728,0.416666667,0.448275862,Tin,0.034166995,0.331224596
Standard,0.070512821,0.428571429,1,0,0.027817936,0.245158928,0.416666667,0.448275862,Tin,0.034166995,1.78522871
Standard,0.070512821,0.571428571,1,0,0.027817936,0.022443443,0.416666667,0.448275862,Tin,0.034166995,0.627666416
Standard,0.102564103,0,0,0,0.037194456,0.009355057,0.5,0.517241379,Tin,0.059570697,0.796048464
Standard,0.142628205,0.714285714,1,0,0.047539234,0.051533648,0.583333333,0.586206897,Tin,0.055730603,2.001299411
Standard,0.182692308,0,0,0,0.077206877,0.032351513,0.625,0.655172414,Tin,0.086352895,1.500044769
Standard,0.182692308,0.714285714,1,0,0.077206877,0.117819021,0.625,0.655172414,Tin,0.086352895,1.459331822
Standard,0.286858974,0,0,0,0.108922329,0.022443443,0.791666667,0.793103448,Tin,0.2390705,1.817623607
Standard,0.375,0.714285714,1,0,0.066111977,0.022443443,0.875,0.862068966,Tin,0.465143757,2.915383619
