W,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,H1,H2,H3,H4,V,NinB,NW,GW,L,W,D,Paint,LC,PVCT,C,A,PP,ABS,PC,NAT,R,ESM,i20,CF,S,PVC,Type,Pack,Stick,WPL,TC
115,0,0,0,0,0,2000,2700,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,24,7992,9700,630,470,470,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,PVC,0,0,1,8.443650332
32,0,0,0,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,2300,2775,420,305,250,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,B,1,0,1,0.979348847
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,15,60,2760,3235,420,305,250,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,0.793439999
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,3564,4035,420,305,250,0,1,20,0,0,0,0,0,0,0,0,0,0,1,0,B,1,0,0,2.151770694
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,2090,2395,330,260,195,0,1,15,0,0,0,0,0,0,0,0,0,0,1,0,B,1,0,0,4.182594083
25,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,25,60,2100,2405,330,260,195,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,B,1,0,1,1.23703167
74,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,2000,0,0,8,36,4285,5260,560,470,330,0,2,20,0,0,0,1,0,0,0,0,0,0,0,0,B,1,0,1,3.914818376
102,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,2000,0,0,4,36,6408,7175,605,475,595,0,2,20,0,0,0,1,0,0,0,0,0,0,0,0,B,1,0,1,10.55431398
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,9,36,2160,2635,420,305,250,0.3,1,15,0,0,1,0,0,0,0,0,0,0,0,0,B,1,0,0,3.749490316
33,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,72,3600,3980,330,200,210,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,BOX,1,0,0,1.094317825
