W,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,H1,H2,H3,H4,V,NinB,NW,GW,L,W,D,Paint,LC,PVCT,C,A,PP,ABS,PC,NAT,R,ESM,i20,CF,S,PVC,Type,Pack,Stick,WPL,TC
64,7200,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,DB,1,1,0,6.190078402
60,7200,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,48,6500,6950,515,420,310,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,DB,1,1,0,4.095753566
58,7200,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,DB,1,1,0,3.895608949
40,7200,0,0,0,0,1500,5700,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,DB,1,1,0,2.274985289
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,DB,1,0,0,1.624774168
18,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3500,4100,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,0,0,1.082859564
32,7200,0,0,0,0,2600,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,3500,4100,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,0,0,1.065305584
28,7200,0,0,0,0,2600,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,3500,4100,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,0,0,13.08967703
18,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,3500,4100,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PB,1,1,0,0.789951278
14,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2850,3200,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,0,0,0,0.819794056
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,950,0,0,0,0,0,0,48,12960,13650,375,656,350,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,0,4.974895242
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,72,13536,14236,375,565,350,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,0,2.979715593
